25234, 18132, 1185, 9, 335, 0.500000
26020, -29511, 1075, 9, 331, 1.500000
26624, 10031, 915, 4, 333, 0.500000
27104, -4217, 950, 4, 334, 1.500000
27646, 5635, 861, 4, 356, 0.500000
28083, -31048, 1052, 9, 396, 1.500000
28708, 2292, 782, 4, 438, 0.500000
29499, 12364, 1504, 12, 333, 0.500000
29937, -3746, 818, 4, 334, 1.500000
30479, 33556, 931, 4, 542, 0.500000
31106, 26161, 892, 4, 438, 0.500000
32126, 8703, 1052, 9, 853, 0.500000
32562, -6352, 1150, 9, 332, 1.500000
33269, -18591, 915, 4, 393, 1.500000
33935, -8535, 876, 4, 501, 1.500000
34434, 7424, 798, 4, 458, 0.500000
34788, -17126, 1152, 9, 333, 1.500000
35163, 20349, 839, 4, 333, 0.500000
35560, 4251, 851, 4, 355, 0.500000
36227, -20664, 855, 4, 543, 1.500000
36872, 12879, 951, 4, 333, 0.500000
37374, -24124, 944, 4, 397, 1.500000
37957, -25799, 914, 4, 418, 1.500000
38520, -31447, 854, 4, 459, 1.500000
39185, -11563, 1044, 9, 541, 1.500000
39831, -28117, 1406, 9, 333, 1.500000
40330, 28189, 966, 4, 332, 0.500000
40809, -3025, 870, 4, 334, 1.500000
41142, 20461, 938, 4, 333, 0.500000
41789, -24856, 1176, 9, 335, 1.500000
42373, 17796, 1262, 9, 334, 0.500000
42957, 14218, 1221, 9, 334, 0.500000
43353, 33901, 1145, 9, 333, 0.500000
43853, 14803, 825, 4, 333, 0.500000
44396, -8892, 958, 4, 334, 1.500000
44772, -2605, 1139, 9, 335, 1.500000
45104, 16904, 987, 4, 332, 0.500000
45481, -11264, 892, 4, 356, 1.500000
46106, 32431, 848, 4, 397, 0.500000
46710, 2180, 918, 4, 459, 0.500000
47294, 25835, 885, 4, 417, 0.500000
1930, -21009, 908, 4, 329, 1.500000
2469, -27975, 865, 4, 332, 1.500000
2906, -21767, 795, 4, 333, 1.500000
3407, -15286, 982, 4, 355, 1.500000
4052, -3826, 1080, 9, 334, 1.500000
4511, -27126, 930, 4, 376, 1.500000
4948, 10948, 813, 4, 333, 0.500000
5574, 11797, 876, 4, 333, 0.500000
6011, -19758, 975, 4, 416, 1.500000
6803, 13546, 937, 4, 333, 0.500000
7427, -23820, 943, 4, 416, 1.500000
7802, -21752, 944, 4, 334, 1.500000
8758, -16464, 910, 4, 373, 1.500000
9362, 33182, 1025, 9, 396, 0.500000
9944, 456, 866, 4, 333, 0.500000
